Project,BAU,SE,DEC
Vietnam - Laos,33.7,62.8,69.5
Thailand - Laos,99.4,127.1,146.2
Cambodia - Laos,16.8,33.4,53.3
Cambodia - Vietnam,31.6,69.2,92.6
Malay Peninsular (M) - Thailand,21.7,50.1,58.8
Singapore - Malay Peninsular (M),23.9,24.9,26.7
Kalimantan (I) - Sarawak (M),8.0,8.0,8.0
