,id,Type,Region,tags.generator:method,tags.generator:source,tags.power,power_output_MW,tags.generator:type,tags.location,tags.frequency,other_tags,geometry,Country
575,9149467341,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12312640000009 16.98117379999996),MM
576,9149467342,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12314250000009 16.98121149999996),MM
577,9149467343,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.123223 16.98140019999996),MM
578,9149467344,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12328740000008 16.98155109999996),MM
579,9149467345,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12330350000008 16.98158879999996),MM
580,9149467346,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12309630000007 16.98162829999996),MM
581,9149467347,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12308080000007 16.981590699999963),MM
582,9149467348,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12306540000007 16.98155319999996),MM
583,9149467349,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12320690000007 16.981362399999963),MM
584,9149467350,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12295750000007 16.981290599999962),MM
585,9149467351,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.122942 16.98125309999996),MM
586,9149467352,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12292660000007 16.98121559999996),MM
587,9149467353,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12297290000006 16.98132809999996),MM
588,9149467354,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12298830000006 16.98136559999996),MM
589,9149467355,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12303460000005 16.981478199999962),MM
590,9149467356,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12305 16.981515699999964),MM
